orf.name	ORF.type	score.(Agg)	score.(iPSC)	score.(MB1)	score.(Gaertner)	coverage.(Agg)	coverage.(iPSC)	coverage.(MB1)	coverage.(Gaertner)	start.(Agg)	start.(iPSC)	start.(MB1)	start.(Gaertner)	end.(Agg)	end.(iPSC)	end.(MB1)	end.(Gaertner)	comment	match.to.riboseq.call	chrom	chromStart	chromEnd	orf.name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts
all199	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr2	97646065	97648108	all199	0	+	97646065	97648108	0,0,0	4	124,74,100,113,	0,1001,1278,1930,
all201	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr2	73075520	73076016	all201	0	-	73075520	73076016	0,0,0	2	204,24,	0,472,
all217	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr2	3498962	3519520	all217	0	-	3498962	3519520	0,0,0	4	120,180,120,153,	0,1851,14894,20405,
all250	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr2	201072049	201085615	all250	0	+	201072049	201085615	0,0,0	3	10,142,157,	0,6831,13409,
all262	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr2	131052902	131071927	all262	0	-	131052902	131071927	0,0,0	4	113,178,143,73,	0,2369,2650,18952,
all274	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr2	96707255	96712001	all274	0	-	96707255	96712001	0,0,0	4	143,120,115,138,	0,458,4400,4608,
all290	Trunc_None_uORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr3	58310531	58317496	all290	0	+	58310531	58317496	0,0,0	4	60,77,79,57,	0,5983,6383,6908,
all324	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr3	196942707	196943016	all324	0	+	196942707	196943016	0,0,0	1	309,	0,
all350	Variant_Novel:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr3	139453115	139476471	all350	0	-	139453115	139476471	0,0,0	4	51,102,179,85,	0,1613,8996,23271,
all366	Trunc_Extended:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr3	57572211	57577375	all366	0	-	57572211	57577375	0,0,0	3	87,126,60,	0,3336,5104,
all380	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr3	122359868	122371785	all380	0	-	122359868	122371785	0,0,0	4	51,60,147,111,	0,3099,8307,11806,
all383	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr3	56729269	56729395	all383	0	-	56729269	56729395	0,0,0	1	126,	0,
all385	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr3	49358131	49358293	all385	0	-	49358131	49358293	0,0,0	1	162,	0,
all397	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr4	102869075	102887430	all397	0	+	102869075	102887430	0,0,0	3	112,215,90,	0,16140,18265,
all416	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr4	6709245	6709734	all416	0	-	6709245	6709734	0,0,0	1	489,	0,
all459	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr5	32585605	32601084	all459	0	+	32585605	32601084	0,0,0	5	20,73,123,109,80,	0,2906,5957,13355,15399,
all501	Variant_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr5	42800911	42800947	all501	0	-	42800911	42800947	0,0,0	1	36,	0,
all502	Variant_Novel:Known_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr5	42808176	42808353	all502	0	-	42808176	42808353	0,0,0	1	177,	0,
all548	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr5	140645586	140647613	all548	0	-	140645586	140647613	0,0,0	3	92,107,131,	0,1669,1896,
all569	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr5	132998844	133006883	all569	0	-	132998844	133006883	0,0,0	3	6,70,125,	0,1287,7914,
all586	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr6	26124223	26124625	all586	0	+	26124223	26124625	0,0,0	1	402,	0,
all588	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr6	26204635	26204956	all588	0	+	26204635	26204956	0,0,0	1	321,	0,
all596	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr5	176905281	176905476	all596	0	-	176905281	176905476	0,0,0	1	195,	0,
all614	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr6	131250480	131281726	all614	0	+	131250480	131281726	0,0,0	3	136,69,197,	0,2556,31049,
all634	Variant_3'UTR:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr6	87520207	87530867	all634	0	-	87520207	87530867	0,0,0	5	45,61,96,107,84,	0,1256,4349,9334,10576,
all656	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr6	122610481	122725195	all656	0	+	122610481	122725195	0,0,0	4	54,85,177,68,	0,22801,107305,114646,
all664	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr7	66114914	66152357	all664	0	+	66114914	66152357	0,0,0	6	56,37,99,95,58,150,	0,12789,15829,19365,30528,37293,
all690	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr7	23611258	23643115	all690	0	+	23611258	23643115	0,0,0	2	295,185,	0,31672,
all711	Variant_Novel:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr7	76048124	76048596	all711	0	+	76048124	76048596	0,0,0	2	102,21,	0,451,
all780	Trunc_None_internal	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr8	42371585	42371657	all780	0	+	42371585	42371657	0,0,0	1	72,	0,
all800	Variant_Novel:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr8	37737919	37745603	all800	0	+	37737919	37745603	0,0,0	6	110,82,47,62,126,35,	0,2445,3852,6435,6651,7649,
all804	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr8	96231054	96231935	all804	0	-	96231054	96231935	0,0,0	2	78,162,	0,719,
all857	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr9	32553875	32573090	all857	0	-	32553875	32573090	0,0,0	4	69,45,93,210,	0,5034,17084,19005,
all863	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr10	27533981	27538051	all863	0	+	27533981	27538051	0,0,0	2	13,176,	0,3894,
all885	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr10	23110280	23120862	all885	0	+	23110280	23120862	0,0,0	3	38,148,105,	0,9023,10477,
all901	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr10	68901414	68906294	all901	0	+	68901414	68906294	0,0,0	2	57,69,	0,4811,
all918	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr10	71298061	71299277	all918	0	+	71298061	71299277	0,0,0	2	29,166,	0,1050,
all947	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr10	68345767	68346072	all947	0	-	68345767	68346072	0,0,0	2	144,66,	0,239,
all978	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr11	66002487	66003772	all978	0	+	66002487	66003772	0,0,0	3	26,139,147,	0,747,1138,
all993	Trunc_Extended:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr10	100275461	100286202	all993	0	-	100275461	100286202	0,0,0	4	32,105,120,106,	0,4662,5472,10635,
all994	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr10	100523836	100529866	all994	0	-	100523836	100529866	0,0,0	5	93,156,100,127,100,	0,2562,3138,5543,5930,
all997	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr11	57501351	57514003	all997	0	-	57501351	57514003	0,0,0	2	23,46,	0,12606,
all1008	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr11	61366213	61368709	all1008	0	+	61366213	61368709	0,0,0	3	3,76,113,	0,1709,2383,
all1013	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr11	47259826	47260516	all1013	0	+	47259826	47260516	0,0,0	2	153,108,	0,582,
all1039	Trunc_Extended:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr11	112085294	112086744	all1039	0	-	112085294	112086744	0,0,0	2	168,105,	0,1345,
all1040	Variant_Novel:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr11	112086295	112086744	all1040	0	-	112086295	112086744	0,0,0	2	15,105,	0,344,
all1046	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr11	64318371	64321691	all1046	0	+	64318371	64321691	0,0,0	6	15,135,132,39,62,106,	0,1362,2289,2493,2635,3214,
all1051	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr11	46858982	46859174	all1051	0	-	46858982	46859174	0,0,0	1	192,	0,
all1076	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr12	14770772	14771111	all1076	0	-	14770772	14771111	0,0,0	1	339,	0,
all1079	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr12	6724132	6728249	all1079	0	+	6724132	6728249	0,0,0	3	20,205,27,	0,481,4090,
all1120	Trunc_Novel:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr12	53665313	53669930	all1120	0	-	53665313	53669930	0,0,0	3	115,194,60,	0,3834,4557,
all1145	Trunc_Extended:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr12	6492270	6492970	all1145	0	-	6492270	6492970	0,0,0	2	197,109,	0,591,
all1159	Variant_Novel:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr11	61421097	61429274	all1159	0	-	61421097	61429274	0,0,0	3	33,219,93,	0,292,8084,
all1161	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr11	62663049	62665193	all1161	0	-	62663049	62665193	0,0,0	4	110,98,125,63,	0,186,1799,2081,
all1182	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr14	20699368	20699815	all1182	0	+	20699368	20699815	0,0,0	1	447,	0,
all1183	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr13	29514479	29516147	all1183	0	-	29514479	29516147	0,0,0	2	104,10,	0,1658,
all1210	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr14	65076475	65077988	all1210	0	-	65076475	65077988	0,0,0	2	188,76,	0,1437,
all1211	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr14	54481441	54488945	all1211	0	-	54481441	54488945	0,0,0	3	17,97,21,	0,2229,7483,
all1260	Trunc_Novel:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr14	24214023	24215622	all1260	0	-	24214023	24215622	0,0,0	4	128,86,108,71,	0,286,468,1528,
all1261	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr14	24217126	24232291	all1261	0	-	24217126	24232291	0,0,0	4	97,83,48,42,	0,1006,1257,15123,
all1265	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr14	70326332	70359611	all1265	0	-	70326332	70359611	0,0,0	4	117,63,72,93,	0,2841,16325,33186,
all1282	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr15	82130372	82138789	all1282	0	-	82130372	82138789	0,0,0	2	189,132,	0,8285,
all1299	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr16	647507	648190	all1299	0	+	647507	648190	0,0,0	3	37,102,71,	0,275,612,
all1330	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr16	83808061	83809423	all1330	0	+	83808061	83809423	0,0,0	3	60,67,119,	0,618,1243,
all1334	Variant_Novel:Known_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr16	70516016	70523543	all1334	0	-	70516016	70523543	0,0,0	4	24,115,83,171,	0,1609,3632,7356,
all1353	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr16	72086636	72093389	all1353	0	-	72086636	72093389	0,0,0	4	166,152,169,23,	0,2350,3981,6730,
all1357	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr16	30424232	30429989	all1357	0	-	30424232	30429989	0,0,0	3	301,111,110,	0,4824,5647,
all1371	Trunc_Extended:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr16	30192974	30193658	all1371	0	-	30192974	30193658	0,0,0	3	100,98,126,	0,383,558,
all1397	Trunc_Novel:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr17	15230916	15259184	all1397	0	-	15230916	15259184	0,0,0	3	164,141,91,	0,8554,28177,
all1434	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr17	81239618	81241016	all1434	0	+	81239618	81241016	0,0,0	2	60,30,	0,1368,
all1440	Trunc_Novel:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr17	59389366	59397190	all1440	0	+	59389366	59397190	0,0,0	2	102,90,	0,7734,
all1447	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr17	7626446	7627668	all1447	0	-	7626446	7627668	0,0,0	6	168,41,102,84,52,99,	0,306,496,696,916,1123,
all1448	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr17	7627367	7627668	all1448	0	-	7627367	7627668	0,0,0	2	47,112,	0,189,
all1467	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr17	75136101	75154493	all1467	0	-	75136101	75154493	0,0,0	5	149,19,98,143,152,	0,10564,11454,12427,18240,
all1472	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr17	41825522	41825633	all1472	0	-	41825522	41825633	0,0,0	1	111,	0,
all1497	Trunc_None_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr19	648127	649726	all1497	0	-	648127	649726	0,0,0	4	150,116,94,48,	0,244,754,1551,
all1503	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr19	17420624	17424993	all1503	0	+	17420624	17424993	0,0,0	7	10,127,120,107,62,57,63,	0,1707,2873,3068,3381,3996,4306,
all1509	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr19	7629806	7631556	all1509	0	+	7629806	7631556	0,0,0	4	54,87,24,84,	0,766,1016,1666,
all1510	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr19	7680863	7682820	all1510	0	+	7680863	7682820	0,0,0	2	15,579,	0,1378,
all1513	Trunc_3'UTR:CDSFrameOverlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr19	16101292	16101346	all1513	0	+	16101292	16101346	0,0,0	1	54,	0,
all1514	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr19	16185430	16190955	all1514	0	+	16185430	16190955	0,0,0	4	86,142,54,69,	0,193,5089,5456,
all1524	Trunc_Extended:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr19	10832994	10835353	all1524	0	-	10832994	10835353	0,0,0	3	219,184,98,	0,1939,2261,
all1556	Trunc_Extended:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr19	46838446	46846100	all1556	0	-	46838446	46846100	0,0,0	4	102,60,114,108,	0,293,1018,7546,
all1584	Variant_Novel:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr19	43511504	43527186	all1584	0	-	43511504	43527186	0,0,0	3	62,145,90,	0,15010,15592,
all1585	Variant_Novel:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr19	43527021	43527186	all1585	0	-	43527021	43527186	0,0,0	1	165,	0,
all1588	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr19	1475031	1479205	all1588	0	-	1475031	1479205	0,0,0	3	227,132,43,	0,3742,4131,
all1603	Trunc_None_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr19	50819193	50820343	all1603	0	-	50819193	50820343	0,0,0	3	156,137,190,	0,705,960,
all1612	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr20	18489763	18497194	all1612	0	-	18489763	18497194	0,0,0	5	227,86,106,43,126,	0,631,4194,6074,7305,
all1623	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr20	32160084	32165444	all1623	0	+	32160084	32165444	0,0,0	3	27,90,150,	0,1191,5210,
all1631	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr20	37983455	37983623	all1631	0	-	37983455	37983623	0,0,0	1	168,	0,
all1719	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr21	46136986	46137049	all1719	0	-	46136986	46137049	0,0,0	1	63,	0,
all1752	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr22	39529491	39532479	all1752	0	-	39529491	39532479	0,0,0	3	132,98,85,	0,328,2903,
all1758	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chrX	46448292	46471185	all1758	0	+	46448292	46471185	0,0,0	5	18,45,127,111,44,	0,2138,14455,14905,22849,
all1802	Variant_Novel:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chrX	132214167	132217286	all1802	0	-	132214167	132217286	0,0,0	2	279,291,	0,2828,
all1980	Trunc_Internal:CDSFrameOverlap_Overlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr22	23766006	23767502	all1980	0	-	23766006	23767502	0,0,0	3	20,148,129,	0,121,1367,
all1999	Trunc_Truncated_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr14	24189414	24190408	all1999	0	-	24189414	24190408	0,0,0	2	394,29,	0,965,
all2014	Trunc_3'UTR:CDSFrameOverlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr13	25340029	25340134	all2014	0	+	25340029	25340134	0,0,0	1	105,	0,
all2114	Trunc_Internal:CDSFrameOverlap_Overlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chrX	40600773	40605755	all2114	0	+	40600773	40605755	0,0,0	2	108,195,	0,4787,
all2143	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr6	42208288	42214182	all2143	0	-	42208288	42214182	0,0,0	5	84,90,109,137,63,	0,569,2199,3492,5831,
all2303	Trunc_3'UTR:CDSFrameOverlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr12	57516452	57516581	all2303	0	+	57516452	57516581	0,0,0	1	129,	0,
all2338	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr10	58277214	58287650	all2338	0	+	58277214	58287650	0,0,0	2	108,90,	0,10346,
all2392	Trunc_3'UTR:CDSFrameOverlap_dORF	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr8	63015331	63015403	all2392	0	-	63015331	63015403	0,0,0	1	72,	0,
all2416	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr3	70959246	70976979	all2416	0	-	70959246	70976979	0,0,0	5	145,167,70,122,39,	0,6643,11489,13308,17694,
all2450	Trunc_Novel:Known_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr11	72109880	72110150	all2450	0	-	72109880	72110150	0,0,0	2	48,63,	0,207,
all2472	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr6	73595076	73595190	all2472	0	-	73595076	73595190	0,0,0	1	114,	0,
